Source ,Target,Type,Weight
2,48,Undirected,116371962.8
62,15,Undirected,5867561
174,15,Undirected,5867561
27,120,Undirected,18910171.6
84,10,Undirected,5353628.25
84,17,Undirected,6090404
49,11,Undirected,74617895.8
117,15,Undirected,14697600.25
58,39,Undirected,23312695
58,26,Undirected,19021904.17
58,255,Undirected,23312695
33,27,Undirected,23312695
27,17,Undirected,7977814.5
7,120,Undirected,75243930.67
120,17,Undirected,60449255
64,2,Undirected,116764176.8
64,3,Undirected,92382974.8
7,160,Undirected,50315719.33
370,10,Undirected,79529553.5
10,160,Undirected,79529553.5
20,17,Undirected,10902657.75
30,47,Undirected,104304708.5
26,16,Undirected,89238583.5
12,82,Undirected,28443577.5
20,14,Undirected,28443577.5
4,281,Undirected,18154004.5
3,281,Undirected,92863601.75
65,47,Undirected,92863601.75
49,36,Undirected,71435928
49,12,Undirected,44322955.5
10,91,Undirected,70681921.4
30,71,Undirected,9705058.333
7,130,Undirected,5421875
10,130,Undirected,5421875
130,36,Undirected,5421875
4,90,Undirected,5421875
37,7,Undirected,5421875
37,17,Undirected,5421875
320,4,Undirected,22681552
320,2,Undirected,29554143.5
68,6,Undirected,198211664.3
53,7,Undirected,33764321.8
81,7,Undirected,33764321.8
146,7,Undirected,97289673
75,7,Undirected,22312356.33
7,124,Undirected,101939379
7,105,Undirected,101939379
71,2,Undirected,101939379
339,6,Undirected,113695135.8
10,122,Undirected,113695135.8
10,168,Undirected,113695135.8
168,36,Undirected,113695135.8
30,281,Undirected,53285349.4
11,281,Undirected,88241471.6
33,10,Undirected,66226423.4
33,36,Undirected,20991491.2
18,8,Undirected,20991491.2
74,5,Undirected,38142013
44,11,Undirected,38142013
180,36,Undirected,38142013
32,47,Undirected,87213422.6
7,55,Undirected,12807777.6
55,6,Undirected,83171166
55,2,Undirected,83171166
2,28,Undirected,23301229.6
22,7,Undirected,23301229.6
10,9,Undirected,169524174.3
62,6,Undirected,77745784.2
6,174,Undirected,80387347.8
105,3,Undirected,75626716.25
3,362,Undirected,75626716.25
105,2,Undirected,75626716.25
2,362,Undirected,75626716.25
4,105,Undirected,41837063.8
4,362,Undirected,54853220.2
319,3,Undirected,300239034.8
319,15,Undirected,110096939.3
7,67,Undirected,81239490.8
10,67,Undirected,238510005.5
80,6,Undirected,140187295.8
17,48,Undirected,19487935.5
1,101,Undirected,5278131.5
136,15,Undirected,64589364.67
7,238,Undirected,38058608.6
80,16,Undirected,131295853.7
6,156,Undirected,71426917.8
80,4,Undirected,86597385.5
145,9,Undirected,81256634.4
58,120,Undirected,70406639.6
17,99,Undirected,70406639.6
84,79,Undirected,60113932
49,17,Undirected,69401083.6
131,2,Undirected,60721698.4
40,2,Undirected,267655889
27,39,Undirected,103766452
27,255,Undirected,11563038.33
33,58,Undirected,11563038.33
12,58,Undirected,12669167
27,9,Undirected,10144711.75
33,26,Undirected,112056536.2
26,120,Undirected,92863601.75
12,26,Undirected,104536193.7
9,255,Undirected,14954973.75
33,120,Undirected,113900035.6
12,120,Undirected,131817835.3
9,120,Undirected,53183008.67
37,9,Undirected,6670224.5
33,32,Undirected,31876174.33
32,45,Undirected,15405051.25
9,45,Undirected,38846675
133,16,Undirected,110063213.4
7,133,Undirected,79381648
7,119,Undirected,5421875
7,370,Undirected,26373429.67
30,64,Undirected,26373429.67
370,36,Undirected,31064444
160,36,Undirected,31064444
35,47,Undirected,66552749.25
168,47,Undirected,23020754
47,79,Undirected,117000060.7
39,255,Undirected,117000060.7
32,17,Undirected,61951356.75
42,16,Undirected,66573665
1,43,Undirected,18665038.6
43,5,Undirected,33764321.8
35,36,Undirected,93020449.8
254,2,Undirected,64071501
2,268,Undirected,48371639.8
97,17,Undirected,60288627.4
97,47,Undirected,17039846
56,28,Undirected,39232333
49,10,Undirected,23951044
49,30,Undirected,39864527
49,35,Undirected,101939379
49,168,Undirected,101939379
49,79,Undirected,78491704.5
10,105,Undirected,46575746
105,36,Undirected,105298674.8
107,7,Undirected,9758923.25
7,123,Undirected,103784964.8
107,6,Undirected,38273421.25
123,6,Undirected,15226280.25
107,17,Undirected,15226280.25
123,17,Undirected,15226280.25
4,161,Undirected,18906871
37,255,Undirected,15226280.25
45,255,Undirected,15226280.25
2,99,Undirected,15226280.25
3,99,Undirected,21278390.25
82,6,Undirected,21278390.25
17,122,Undirected,115024401.8
18,18,Undirected,34719310
4,25,Undirected,34719310
16,25,Undirected,34719310
6,291,Undirected,23439162.25
47,47,Undirected,23504334.25
68,2,Undirected,23504334.25
11,71,Undirected,280187925.3
31,19,Undirected,280187925.3
31,142,Undirected,280187925.3
227,215,Undirected,64341099.67
55,70,Undirected,6827331
55,106,Undirected,27334136.25
38,38,Undirected,9175746.5
55,215,Undirected,27334136.25
65,55,Undirected,109211027.3
1,76,Undirected,109211027.3
20,20,Undirected,162271994
102,5,Undirected,162271994
102,28,Undirected,162271994
63,36,Undirected,162271994
339,7,Undirected,91265998.25
339,28,Undirected,102290554.3
339,5,Undirected,9787327
71,281,Undirected,5867561
41,17,Undirected,23191051
66,7,Undirected,14697600.25
66,6,Undirected,20930125.5
97,3,Undirected,20930125.5
3,129,Undirected,94706093.5
63,17,Undirected,94706093.5
7,137,Undirected,94706093.5
137,36,Undirected,94706093.5
7,180,Undirected,166951856.5
180,6,Undirected,84096287.33
10,131,Undirected,76713196.5
180,10,Undirected,67530803.25
44,2,Undirected,112457481.5
9,47,Undirected,75230131
247,3,Undirected,75230131
38,7,Undirected,62819128.25
38,6,Undirected,62819128.25
20,2,Undirected,148222290.3
9,36,Undirected,14542992.5
7,136,Undirected,32645192.33
4,319,Undirected,28978606.25
67,36,Undirected,38961459
232,27,Undirected,38961459
55,1,Undirected,38961459
55,5,Undirected,45483864.25
95,17,Undirected,28443577.5
17,42,Undirected,68601536.5
6,127,Undirected,68601536.5
101,28,Undirected,68601536.5
197,6,Undirected,82917994.5
136,16,Undirected,5299995
17,156,Undirected,89480669.5
7,156,Undirected,83604663
96,6,Undirected,45278690.25
80,2,Undirected,70471931.5
80,15,Undirected,73630111.33
4,48,Undirected,9941421.333
3,48,Undirected,5270616
15,48,Undirected,17378100.33
62,16,Undirected,106706282.3
174,16,Undirected,167630017.5
17,285,Undirected,5732504
10,285,Undirected,13535929
10,99,Undirected,32885467
84,35,Undirected,13815938.33
35,285,Undirected,22003105.67
35,99,Undirected,5421875
36,285,Undirected,5421875
36,99,Undirected,5421875
79,285,Undirected,8764834.333
79,99,Undirected,66700604
49,117,Undirected,92810931.33
49,131,Undirected,57884897.67
49,369,Undirected,19289171.67
49,40,Undirected,19289171.67
49,9,Undirected,19289171.67
117,40,Undirected,19289171.67
117,9,Undirected,79400801.33
7,40,Undirected,83416618.67
40,11,Undirected,11228411
40,131,Undirected,19763802
9,131,Undirected,51684612.75
40,369,Undirected,93781945.67
9,369,Undirected,19826016.25
40,17,Undirected,73386103
369,2,Undirected,119262566.3
117,133,Undirected,102787129.3
117,16,Undirected,6499381
27,26,Undirected,25188915
58,17,Undirected,25188915
58,9,Undirected,25188915
39,120,Undirected,25188915
120,255,Undirected,25188915
22,33,Undirected,25188915
37,32,Undirected,25188915
4,64,Undirected,25188915
11,119,Undirected,50834353.33
370,41,Undirected,92639967
11,41,Undirected,92639967
160,41,Undirected,139566732.5
64,41,Undirected,55774590.25
41,36,Undirected,23951044
160,2,Undirected,37506147.33
77,7,Undirected,4640455
77,6,Undirected,39864527
26,255,Undirected,50408638.33
255,255,Undirected,50408638.33
7,247,Undirected,45594587.25
247,6,Undirected,105513435.5
12,65,Undirected,78491704.5
162,10,Undirected,29329972
20,29,Undirected,119124393
43,14,Undirected,67178082.67
7,104,Undirected,67178082.67
10,104,Undirected,67178082.67
6,104,Undirected,67178082.67
36,104,Undirected,18573019.67
104,79,Undirected,18573019.67
254,4,Undirected,18573019.67
254,3,Undirected,18573019.67
254,16,Undirected,18573019.67
254,15,Undirected,18573019.67
4,268,Undirected,39996496
3,268,Undirected,39996496
16,268,Undirected,39996496
268,15,Undirected,39996496
16,281,Undirected,18314769.67
15,281,Undirected,18314769.67
7,97,Undirected,18314769.67
7,90,Undirected,18314769.67
90,6,Undirected,18314769.67
109,4,Undirected,18314769.67
4,99,Undirected,18314769.67
109,2,Undirected,18314769.67
109,3,Undirected,18314769.67
160,3,Undirected,18314769.67
91,3,Undirected,18314769.67
12,40,Undirected,151890445
40,15,Undirected,151890445
53,36,Undirected,151890445
81,36,Undirected,151890445
146,36,Undirected,151890445
75,36,Undirected,151890445
124,36,Undirected,151890445
53,17,Undirected,151890445
81,17,Undirected,27460420.67
146,17,Undirected,27460420.67
75,17,Undirected,27460420.67
124,17,Undirected,27460420.67
105,17,Undirected,11493748.67
351,18,Undirected,11493748.67
351,1,Undirected,11493748.67
18,368,Undirected,11493748.67
1,368,Undirected,11493748.67
11,223,Undirected,11493748.67
223,6,Undirected,11493748.67
223,36,Undirected,11493748.67
12,133,Undirected,126507959.7
133,25,Undirected,126507959.7
117,25,Undirected,126507959.7
8,17,Undirected,126507959.7
226,6,Undirected,126507959.7
226,36,Undirected,280187925.3
68,3,Undirected,280187925.3
68,15,Undirected,23457383.67
19,19,Undirected,23457383.67
142,142,Undirected,190496462
227,227,Undirected,108213587.7
38,70,Undirected,108023990.7
38,106,Undirected,65447727.67
38,215,Undirected,142683429.3
38,65,Undirected,113810181.7
165,55,Undirected,124969498.7
166,55,Undirected,110096939.3
63,55,Undirected,122662670
10,45,Undirected,111911340.3
76,5,Undirected,126399007
10,63,Undirected,111911340.3
30,63,Undirected,54877381.67
7,13,Undirected,54877381.67
339,8,Undirected,5867561
339,13,Undirected,5867561
8,102,Undirected,5867561
6,13,Undirected,24176622.33
10,35,Undirected,18085357.33
17,281,Undirected,36668556.67
64,17,Undirected,16749046.33
27,174,Undirected,64589364.67
44,281,Undirected,131295853.7
84,1,Undirected,131295853.7
84,5,Undirected,64589364.67
74,8,Undirected,131295853.7
74,28,Undirected,100206521.3
44,30,Undirected,100206521.3
65,255,Undirected,88332796
97,2,Undirected,109963289.7
10,79,Undirected,373357456.7
30,79,Undirected,82422189.67
15,129,Undirected,115131381
137,6,Undirected,65226620
11,168,Undirected,65226620
131,36,Undirected,65226620
137,10,Undirected,103766452
44,3,Undirected,103766452
44,16,Undirected,11563038.33
44,15,Undirected,41730952
11,16,Undirected,41730952
7,70,Undirected,41730952
7,106,Undirected,27188633.67
70,6,Undirected,44112794.67
106,6,Undirected,173333610.3
38,10,Undirected,32645192.33
10,55,Undirected,32645192.33
38,30,Undirected,344642678.3
30,55,Undirected,100257728.7
38,36,Undirected,7083045.333
55,36,Undirected,13238511.67
38,2,Undirected,47630134.33
339,2,Undirected,18233282.67
30,9,Undirected,18233282.67
2,252,Undirected,15783520.33
26,5,Undirected,5488559
17,67,Undirected,15110579.67
307,6,Undirected,83935355.33
307,17,Undirected,79967530.67
44,67,Undirected,178284634.7
41,2,Undirected,11466107
