Source,Target,Type,Weight
65,65,Undirected,199120
15,65,Undirected,199120
5,176,Undirected,2000244.75
5,26,Undirected,2499023.75
31,4,Undirected,6364730.8
66,5,Undirected,3845424.667
67,5,Undirected,7237080.25
68,5,Undirected,7237080.25
8,28,Undirected,4312666.4
17,8,Undirected,4221393
69,5,Undirected,5443006.2
8,24,Undirected,1455723
70,100,Undirected,976337
71,47,Undirected,12672977.67
20,12,Undirected,3009169.2
59,100,Undirected,4571609.25
4,72,Undirected,520756.6667
4,54,Undirected,520756.6667
4,231,Undirected,520756.6667
72,5,Undirected,520756.6667
5,231,Undirected,520756.6667
38,10,Undirected,2075867.2
35,10,Undirected,2036273.2
6,7,Undirected,2192798.4
36,69,Undirected,3364171
4,33,Undirected,5455266.4
9,14,Undirected,2978551.4
21,27,Undirected,9720354.25
1,26,Undirected,1170821
73,3,Undirected,716959.25
16,59,Undirected,5445520.5
7,100,Undirected,4970761.8
17,10,Undirected,10078067.8
34,1,Undirected,1891077.8
8,34,Undirected,1606601.2
34,27,Undirected,1606601.2
5,121,Undirected,1971190.25
74,11,Undirected,3724552.667
11,213,Undirected,3724552.667
4,75,Undirected,4673105.667
75,5,Undirected,4673105.667
75,27,Undirected,4673105.667
5,76,Undirected,1348635
76,100,Undirected,1348635
41,1,Undirected,8302694
6,3,Undirected,2842827.667
5,101,Undirected,3056081.75
77,5,Undirected,2870417.667
1,121,Undirected,1194735.5
78,5,Undirected,4434422.333
32,5,Undirected,2001308.4
15,5,Undirected,2001308.4
6,41,Undirected,10438320.4
64,3,Undirected,199120
42,3,Undirected,1674522.667
10,176,Undirected,1623330
24,45,Undirected,2732416
73,5,Undirected,2491272.333
52,4,Undirected,4997271.75
52,5,Undirected,4997271.75
67,4,Undirected,7237080.25
4,43,Undirected,7237080.25
4,68,Undirected,7237080.25
11,27,Undirected,5621290.25
22,100,Undirected,3453565.8
3,27,Undirected,2158032.5
79,2,Undirected,2640165
79,3,Undirected,2640165
36,4,Undirected,7058773.25
8,45,Undirected,1553363.75
80,24,Undirected,1553363.75
80,45,Undirected,1553363.75
80,1,Undirected,1553363.75
80,3,Undirected,1553363.75
81,5,Undirected,1082123.75
81,100,Undirected,1082123.75
52,99,Undirected,12505487
52,128,Undirected,12505487
61,1,Undirected,12505487
19,7,Undirected,6700077.75
9,20,Undirected,3548994
38,22,Undirected,1618800.75
16,22,Undirected,1618800.75
72,47,Undirected,650454
54,47,Undirected,650454
47,231,Undirected,650454
19,18,Undirected,3674567.5
19,14,Undirected,3674567.5
82,5,Undirected,504046
8,29,Undirected,1665776.75
37,11,Undirected,221566.6667
9,19,Undirected,231438.6667
18,12,Undirected,499477.25
55,1,Undirected,2239859
5,232,Undirected,1506714.5
3,232,Undirected,1506714.5
83,5,Undirected,1406400.25
84,3,Undirected,3083607
85,3,Undirected,3083607
86,3,Undirected,3083607
87,3,Undirected,3083607
25,7,Undirected,8010573.75
4,34,Undirected,4833787.75
88,5,Undirected,5819956
2,213,Undirected,3007348
1,47,Undirected,1423318.5
75,100,Undirected,1700347.5
4,76,Undirected,1700347.5
27,76,Undirected,1700347.5
6,12,Undirected,1495756
4,25,Undirected,1690479.5
89,3,Undirected,1390744.5
41,3,Undirected,1390744.5
10,29,Undirected,3314740.75
28,12,Undirected,2777459.333
90,5,Undirected,3038923.25
4,108,Undirected,1514405.75
40,5,Undirected,2174969
91,49,Undirected,4379221.25
91,36,Undirected,4379221.25
77,4,Undirected,3419710
77,10,Undirected,3419710
31,27,Undirected,7044845
21,28,Undirected,2173403.333
42,1,Undirected,1044217.667
48,49,Undirected,9287856.5
9,15,Undirected,4253917.75
35,4,Undirected,2091192
26,29,Undirected,2108852
