,song_popularity,explicit,track_number,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2,artist1_num_available_markets,artist2_num_available_markets,release_date_year,modularity_class_artist1,modularity_class_artist2,clustering_genre_artist1,clustering_genre_artist2
10,average,True,1,235859,11,1,4,0.121,0.846,0.627,0.0,0.378,-8.463,0.284,0.533,84.015,Pressa,Tory Lanez,69574,57,"['canadian hip hop', 'melodic rap', 'rap montrealais', 'toronto rap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",79.0,48.0,2017,1,1,0.470657,0.470657
11,low,False,1,193509,1,1,4,0.0871,0.732,0.63,0.0,0.0903,-6.577,0.19,0.424,91.999,Massari,Tory Lanez,103964,55,"['canadian pop', 'lebanese pop']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",0.0,48.0,2017,1,1,0.343151,0.470657
12,low,True,2,193043,0,0,4,0.00513,0.502,0.648,0.0,0.204,-5.698,0.0527,0.291,91.837,Keys N Krates,Tory Lanez,174071,57,"['bass trap', 'edm', 'electronic trap', 'livetronica', 'vapor twitch']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",0.0,48.0,2018,1,1,0.857143,0.470657
13,average,True,1,193846,5,1,4,0.197,0.859,0.665,0.0,0.199,-6.906,0.227,0.416,130.068,Nafe Smallz,M Huncho,100203,69,"['trap soul', 'uk drill', 'uk hip hop']",178880,71,['uk hip hop'],79.0,79.0,2019,1,1,0.542657,0.521259
14,average,True,23,199111,5,0,4,0.155,0.887,0.605,3.44e-06,0.151,-7.843,0.189,0.586,135.016,D-Block Europe,M Huncho,249015,74,['uk hip hop'],178880,71,['uk hip hop'],79.0,79.0,2019,1,1,0.521259,0.521259
15,average,True,7,222026,3,1,4,0.236,0.805,0.785,0.0,0.273,-5.282,0.263,0.594,133.876,Lacrim,M Huncho,1335760,68,"['arabic hip hop', 'francoton', 'french hip hop', 'pop urbaine', 'rap algerien']",178880,71,['uk hip hop'],33.0,79.0,2019,0,1,0.0,0.521259
16,average,True,7,185500,0,0,4,0.337,0.421,0.519,0.0,0.117,-8.752,0.491,0.307,84.23,Nafe Smallz,Yxng Bane,100203,69,"['trap soul', 'uk drill', 'uk hip hop']",285625,68,"['uk dancehall', 'uk drill', 'uk hip hop']",79.0,63.0,2019,1,1,0.542657,0.711823
17,average,True,15,178498,5,0,4,0.351,0.843,0.804,6e-05,0.0994,-6.722,0.156,0.875,100.961,D-Block Europe,Yxng Bane,249015,74,['uk hip hop'],285625,68,"['uk dancehall', 'uk drill', 'uk hip hop']",79.0,63.0,2019,1,1,0.521259,0.711823
18,average,True,1,201379,7,1,4,0.0122,0.673,0.684,0.00011,0.13,-8.347,0.133,0.516,175.862,D-Block Europe,Yxng Bane,249015,74,['uk hip hop'],285625,68,"['uk dancehall', 'uk drill', 'uk hip hop']",79.0,63.0,2018,1,1,0.521259,0.711823
19,low,True,3,233513,10,0,4,0.195,0.629,0.612,0.0,0.0938,-6.605,0.0738,0.352,147.85,M Huncho,Yxng Bane,178880,71,['uk hip hop'],285625,68,"['uk dancehall', 'uk drill', 'uk hip hop']",40.0,63.0,2019,1,1,0.521259,0.711823
20,average,True,1,219165,1,1,4,0.1,0.497,0.59,0.0,0.0714,-7.564,0.258,0.585,99.638,Yungen,Yxng Bane,235544,60,"['grime', 'london rap', 'uk hip hop']",285625,68,"['uk dancehall', 'uk drill', 'uk hip hop']",79.0,63.0,2017,1,1,0.611742,0.711823
21,low,False,9,294133,2,1,4,0.969,0.15,0.0577,0.363,0.0873,-21.255,0.0362,0.0701,71.564,John Williams,Boston Pops Orchestra,856056,76,['soundtrack'],14587,54,"['adult standards', 'easy listening']",78.0,78.0,1970,1,1,0.428571,0.497076
22,low,False,1,204444,5,0,4,0.064,0.572,0.797,0.0,0.105,-3.995,0.0483,0.252,135.006,Sigma,Birdy,236099,69,"['dance pop', 'drum and bass', 'edm', 'house', 'pop', 'tropical house', 'uk dance']",3023186,74,"['pop', 'pop rock']",0.0,0.0,2016,1,1,0.153198,0.122279
23,average,False,4,207853,6,1,4,0.28,0.61,0.397,0.0,0.0833,-8.506,0.0504,0.718,129.761,Pentatonix,Tori Kelly,2649765,72,['a cappella'],1744117,72,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'r&b', 'viral pop']",78.0,26.0,2015,0,1,0.0,0.153198
24,low,False,1,211426,11,1,4,0.381,0.494,0.796,0.0,0.0918,-3.968,0.0738,0.646,159.926,Chris Lane,Tori Kelly,334714,71,['contemporary country'],1744117,72,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'r&b', 'viral pop']",0.0,26.0,2017,1,1,0.622989,0.153198
25,low,False,1,211426,11,1,4,0.349,0.488,0.798,0.0,0.0921,-3.855,0.0705,0.613,160.03,Chris Lane,Tori Kelly,334714,71,['contemporary country'],1744117,72,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'r&b', 'viral pop']",0.0,26.0,2017,1,1,0.622989,0.153198
26,low,True,9,265266,7,1,4,0.163,0.827,0.522,1.19e-06,0.109,-4.866,0.0845,0.477,151.99,Logic,Gucci Mane,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",65.0,49.0,2019,1,1,0.403509,0.373684
27,low,True,1,218260,5,0,4,0.0301,0.964,0.555,0.000567,0.128,-6.245,0.0499,0.338,130.017,Ty Dolla $ign,Gucci Mane,3286397,88,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",51.0,49.0,2018,1,1,0.18692,0.373684
28,high,True,21,218260,5,0,4,0.0301,0.964,0.555,0.000567,0.128,-6.245,0.0499,0.338,130.017,Ty Dolla $ign,Gucci Mane,3286397,88,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",51.0,49.0,2018,1,1,0.18692,0.373684
29,average,True,10,222958,1,0,4,0.207,0.932,0.658,0.0,0.118,-7.708,0.353,0.695,109.973,Lil Baby,Gucci Mane,3879825,92,"['atl hip hop', 'atl trap', 'rap', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",71.0,49.0,2018,1,1,0.373684,0.373684
30,average,True,8,259340,9,0,4,0.231,0.85,0.731,0.0,0.0886,-6.705,0.193,0.822,134.009,Migos,Gucci Mane,10308083,83,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70.0,49.0,2018,1,1,0.373684,0.373684
31,high,True,6,304041,1,0,4,0.307,0.92,0.674,0.0,0.104,-5.662,0.264,0.741,141.967,Migos,Gucci Mane,10308083,83,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70.0,49.0,2017,1,1,0.373684,0.373684
32,average,True,12,186784,4,0,4,0.319,0.822,0.598,0.0,0.109,-6.804,0.37,0.595,176.046,Chance the Rapper,Gucci Mane,4783381,84,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79.0,49.0,2019,1,1,0.47613,0.373684
33,low,True,1,226320,8,0,4,0.257,0.719,0.501,0.0,0.189,-8.84,0.239,0.419,136.025,Metro Boomin,Gucci Mane,1814243,81,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",23.0,49.0,2018,1,1,0.18692,0.373684
34,low,False,1,186112,2,1,4,0.0204,0.708,0.61,4.45e-06,0.0641,-4.522,0.0574,0.305,123.038,Selena Gomez,Gucci Mane,20346451,89,"['dance pop', 'pop', 'post-teen pop']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",26.0,49.0,2017,1,1,0.153198,0.373684
35,high,True,2,219663,1,0,4,0.208,0.771,0.761,0.0,0.091,-4.727,0.047,0.277,131.01,Lil Skies,Gucci Mane,3954403,83,"['melodic rap', 'pop rap', 'rap', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79.0,49.0,2019,1,1,0.367129,0.373684
36,low,False,1,165200,8,1,4,0.0162,0.53,0.512,7.04e-05,0.128,-7.094,0.133,0.401,196.121,Fifth Harmony,Gucci Mane,10556584,75,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",34.0,49.0,2017,1,1,0.153198,0.373684
37,low,False,1,165200,8,1,4,0.0162,0.53,0.512,7.04e-05,0.128,-7.094,0.133,0.401,196.121,Fifth Harmony,Gucci Mane,10556584,75,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",34.0,49.0,2017,1,1,0.153198,0.373684
38,low,False,1,164985,8,1,4,0.0162,0.53,0.512,7.04e-05,0.128,-7.094,0.133,0.401,196.121,Fifth Harmony,Gucci Mane,10556584,75,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",34.0,49.0,2017,1,1,0.153198,0.373684
39,low,True,1,334253,6,0,4,0.0653,0.696,0.774,0.0,0.87,-2.424,0.084,0.33,134.985,Kanye West,Gucci Mane,11565597,90,"['chicago rap', 'rap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",46.0,49.0,2016,1,1,0.47613,0.373684
40,high,True,1,334253,6,0,4,0.0623,0.692,0.774,0.0,0.873,-2.48,0.0876,0.349,134.952,Kanye West,Gucci Mane,11565597,90,"['chicago rap', 'rap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",46.0,49.0,2016,1,1,0.47613,0.373684
41,high,True,5,291893,0,1,4,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,0.355,145.926,Rae Sremmurd,Gucci Mane,5777701,78,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",41.0,49.0,2016,1,1,0.18692,0.373684
42,high,True,1,240375,1,0,4,0.125,0.752,0.705,0.0,0.0919,-4.893,0.138,0.694,129.966,GoldLink,Gucci Mane,613487,73,"['alternative r&b', 'dmv rap', 'hip hop', 'rap', 'underground hip hop']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",74.0,49.0,2017,1,1,0.465047,0.373684
43,high,True,3,222706,4,0,4,0.274,0.836,0.776,0.0,0.113,-0.804,0.239,0.37,130.033,2 Chainz,Gucci Mane,5447497,83,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",59.0,49.0,2017,1,1,0.373684,0.373684
44,average,True,1,232413,5,1,4,0.223,0.797,0.633,0.0,0.109,-4.815,0.238,0.577,156.015,A$AP Rocky,Gucci Mane,6806719,85,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79.0,49.0,2018,1,1,0.432668,0.373684
45,average,True,10,124525,2,1,4,0.0353,0.947,0.441,0.0,0.111,-9.311,0.135,0.275,125.01,Wiz Khalifa,Gucci Mane,8992539,87,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",61.0,49.0,2018,1,1,0.18692,0.373684
46,high,True,1,233705,8,1,3,0.007,0.746,0.647,0.0,0.156,-6.388,0.052,0.196,112.015,blackbear,Gucci Mane,3031045,87,"['pop', 'pop rap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79.0,49.0,2017,1,1,0.122279,0.373684
47,average,True,1,197680,4,0,4,0.11,0.684,0.612,0.0,0.331,-6.007,0.289,0.295,77.495,Desiigner,Gucci Mane,2896487,71,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",3201171,84,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79.0,49.0,2017,1,1,0.155039,0.373684
48,average,True,13,728413,10,1,4,0.154,0.529,0.799,0.0,0.0858,-7.025,0.166,0.354,104.054,Logic,Neil deGrasse Tyson,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5078,37,[],65.0,79.0,2017,1,0,0.403509,0.0
49,average,True,5,198106,10,1,4,0.139,0.546,0.871,8.28e-05,0.104,-5.81,0.148,0.303,189.723,Logic,Ryan Tedder,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",19685,61,[],65.0,79.0,2018,1,0,0.403509,0.0
50,average,True,1,199866,10,1,4,0.118,0.529,0.871,0.000164,0.115,-5.831,0.155,0.272,189.837,Logic,Ryan Tedder,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",19685,61,[],65.0,79.0,2018,1,0,0.403509,0.0
51,high,True,12,331266,1,1,4,0.111,0.622,0.867,0.000104,0.346,-5.298,0.0893,0.339,140.011,Logic,Damian Lemar Hudson,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",3570,48,[],65.0,79.0,2017,1,0,0.403509,0.0
52,average,True,8,188400,1,1,4,0.0224,0.748,0.894,0.0,0.143,-6.67,0.0748,0.839,157.988,Logic,Hailee Steinfeld,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5581346,80,"['dance pop', 'pop', 'post-teen pop']",65.0,52.0,2018,1,1,0.403509,0.153198
53,high,False,4,199973,7,0,4,0.00273,0.524,0.772,0.000169,0.224,-6.696,0.152,0.237,169.855,Machine Gun Kelly,Hailee Steinfeld,2027274,82,"['pop rap', 'rap']",5581346,80,"['dance pop', 'pop', 'post-teen pop']",70.0,52.0,2017,1,1,0.155039,0.153198
54,high,False,1,181826,2,0,4,0.043,0.698,0.66,0.0,0.186,-5.429,0.083,0.351,119.214,Drax Project,Hailee Steinfeld,56495,68,"['australian pop', 'nz pop', 'pop']",5581346,80,"['dance pop', 'pop', 'post-teen pop']",31.0,52.0,2019,1,1,0.757895,0.153198
55,average,False,1,181859,2,0,4,0.043,0.698,0.66,0.0,0.186,-5.429,0.083,0.351,119.214,Drax Project,Hailee Steinfeld,56495,68,"['australian pop', 'nz pop', 'pop']",5581346,80,"['dance pop', 'pop', 'post-teen pop']",31.0,52.0,2019,1,1,0.757895,0.153198
56,low,False,1,181859,2,0,4,0.043,0.698,0.66,0.0,0.186,-5.429,0.083,0.351,119.214,Drax Project,Hailee Steinfeld,56495,68,"['australian pop', 'nz pop', 'pop']",5581346,80,"['dance pop', 'pop', 'post-teen pop']",31.0,52.0,2019,1,1,0.757895,0.153198
57,average,False,1,201420,0,1,4,0.408,0.683,0.782,0.0,0.236,-2.989,0.0497,0.673,100.954,MNEK,Hailee Steinfeld,207417,69,"['tropical house', 'uk contemporary r&b']",5581346,80,"['dance pop', 'pop', 'post-teen pop']",79.0,52.0,2018,1,1,0.183377,0.153198
58,low,True,2,245386,10,0,4,0.137,0.694,0.759,0.0,0.167,-5.667,0.398,0.77,140.055,Logic,Eminem,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",34482104,94,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",65.0,64.0,2019,1,1,0.403509,0.50904
59,high,True,2,245386,10,0,4,0.137,0.694,0.759,0.0,0.167,-5.667,0.398,0.77,140.055,Logic,Eminem,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",34482104,94,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",65.0,64.0,2019,1,1,0.403509,0.50904
60,high,True,1,245413,10,0,4,0.145,0.722,0.764,0.0,0.171,-5.656,0.398,0.796,139.831,Logic,Eminem,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",34482104,94,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",65.0,64.0,2019,1,1,0.403509,0.50904
61,high,True,8,207760,11,0,4,0.135,0.852,0.666,0.0,0.798,-6.923,0.184,0.726,91.046,Ed Sheeran,Eminem,62638197,94,"['pop', 'uk pop']",34482104,94,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",79.0,64.0,2019,1,1,0.122279,0.50904
62,high,True,4,325840,11,1,5,0.629,0.482,0.781,2.87e-06,0.413,-5.334,0.411,0.336,57.967,Big Sean,Eminem,7271979,83,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",34482104,94,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",74.0,64.0,2017,1,1,0.50904,0.50904
63,high,True,2,226160,10,0,4,0.0452,0.725,0.749,0.0,0.175,-7.474,0.356,0.761,87.03,P!nk,Eminem,8409756,83,"['dance pop', 'pop', 'post-teen pop']",34482104,94,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",70.0,64.0,2017,1,1,0.153198,0.50904
64,low,True,10,239986,7,1,4,0.0151,0.79,0.677,1.06e-05,0.169,-5.27,0.104,0.75,160.001,Logic,Wiz Khalifa,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",8992539,87,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",65.0,53.0,2019,1,1,0.403509,0.18692
65,high,True,6,260320,0,1,4,0.0402,0.742,0.72,0.000846,0.0839,-2.876,0.116,0.97,77.011,Logic,Wiz Khalifa,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",8992539,87,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",65.0,53.0,2018,1,1,0.403509,0.18692
66,high,True,4,231173,4,1,4,0.0188,0.743,0.752,0.0,0.287,-4.813,0.0414,0.545,110.015,Maroon 5,Wiz Khalifa,23843388,89,"['pop', 'pop rock']",8992539,87,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",23.0,53.0,2012,1,1,0.122279,0.18692
67,high,True,1,243490,9,0,4,0.255,0.502,0.786,0.0,0.65,-4.378,0.317,0.739,169.021,Lil Wayne,Wiz Khalifa,9014297,89,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",8992539,87,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",78.0,53.0,2016,1,1,0.18692,0.18692
68,average,True,11,260213,2,1,4,0.0898,0.626,0.852,0.0,0.354,-6.261,0.303,0.731,94.905,Logic,Kajo,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",142,37,[],65.0,79.0,2018,1,0,0.403509,0.0
69,average,True,4,206613,1,0,4,0.0304,0.856,0.758,0.0,0.105,-5.783,0.227,0.18,124.073,Logic,Ansel Elgort,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",739227,62,"['dance pop', 'pop']",65.0,79.0,2017,1,1,0.403509,0.153198
70,average,True,11,412560,1,1,4,0.326,0.589,0.8,0.0,0.119,-6.54,0.0687,0.573,122.898,Logic,Lucy Rose,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",242590,58,"['ambient folk', 'british singer-songwriter', 'chamber pop', 'indie anthem-folk', 'indie folk']",65.0,79.0,2017,1,0,0.403509,0.0
71,average,True,1,430426,10,1,4,0.169,0.599,0.749,3.03e-06,0.4,-7.12,0.269,0.574,159.413,Logic,Lucy Rose,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",242590,58,"['ambient folk', 'british singer-songwriter', 'chamber pop', 'indie anthem-folk', 'indie folk']",65.0,79.0,2018,1,0,0.403509,0.0
72,average,True,7,353453,7,1,4,0.579,0.835,0.929,1.28e-06,0.38,-3.595,0.0653,0.96,119.047,Logic,Wale,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",2542382,77,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",65.0,79.0,2018,1,1,0.403509,0.18692
73,average,True,8,240093,10,0,4,0.257,0.827,0.643,0.0,0.094,-6.414,0.0899,0.433,95.965,Logic,Young Sinatra,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",2674,44,[],65.0,79.0,2018,1,0,0.403509,0.0
74,low,True,8,211933,8,1,4,0.135,0.845,0.486,0.0,0.104,-6.473,0.313,0.142,77.028,Logic,G-Eazy,4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",4411216,85,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",65.0,53.0,2019,1,1,0.403509,0.18692
75,high,True,14,212466,10,0,4,0.434,0.731,0.774,3.34e-06,0.114,-5.273,0.0555,0.219,100.005,Post Malone,G-Eazy,24460203,95,"['dfw rap', 'melodic rap', 'rap']",4411216,85,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",43.0,53.0,2018,1,1,0.537374,0.18692
76,high,True,1,175710,8,1,4,0.00586,0.888,0.74,0.0,0.218,-5.363,0.238,0.664,100.003,Tyga,G-Eazy,5593669,89,"['pop rap', 'rap', 'trap']",4411216,85,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",73.0,53.0,2019,1,1,0.155039,0.18692
77,average,True,1,190344,11,0,4,0.206,0.842,0.808,0.0,0.258,-3.243,0.0491,0.705,145.03,GASHI,G-Eazy,130958,72,"['pop rap', 'trap', 'trap soul']",4411216,85,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",79.0,53.0,2019,1,1,0.155039,0.18692
78,high,True,1,211893,0,1,4,0.031,0.836,0.703,0.0,0.124,-4.731,0.106,0.211,144.959,Vic Mensa,G-Eazy,514812,67,"['chicago rap', 'conscious hip hop', 'deep underground hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",4411216,85,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",79.0,53.0,2018,1,1,0.47613,0.18692
