,song_popularity,explicit,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2
4129,70,True,6,2,79,2017-05-19,169800,9,1,4,0.0484,0.59,0.671,0.0,0.0604,-6.098,0.0706,0.438,149.982,Linkin Park,Kiiara,15251076,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",660297,68,"['electropop', 'indie poptimism', 'indietronica', 'pop']"
4130,48,True,1,4,79,2019-07-26,188737,2,0,4,0.283,0.59,0.702,0.0,0.103,-3.447,0.361,0.574,103.007,AJ,Geko,3766,37,[],132394,62,"['manchester hip hop', 'uk hip hop']"
4131,60,True,1,2,79,2017-06-18,252860,11,0,4,0.303,0.674,0.688,0.0,0.14,-5.029,0.246,0.606,99.541,NSG,Geko,117026,65,"['afro dancehall', 'grime', 'uk dancehall', 'uk hip hop']",132394,62,"['manchester hip hop', 'uk hip hop']"
4132,70,False,1,3,79,2018-09-28,215151,11,0,4,0.266,0.817,0.74,0.0,0.0992,-4.566,0.283,0.674,130.04,Marc Anthony,Will Smith,3942882,79,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']",652319,72,['hip hop']
4133,64,False,1,3,79,2018-05-25,207977,2,0,4,0.00573,0.582,0.944,1.27e-06,0.547,-0.928,0.185,0.8,143.97,Nicky Jam,Will Smith,11493557,89,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",652319,72,['hip hop']
4134,0,True,8,2,0,2017-09-22,193280,5,0,4,0.337,0.807,0.469,6.61e-05,0.108,-6.302,0.102,0.701,105.015,KALIM,Ace Tee,152398,60,"['deep german hip hop', 'german cloud rap', 'german hip hop', 'hamburg hip hop']",18164,37,['hamburg hip hop']
4135,71,False,12,4,79,2019-07-11,182613,5,1,5,0.657,0.337,0.331,0.0,0.085,-10.16,0.0385,0.35,103.203,Beyoncé,Childish Gambino,22612079,88,"['dance pop', 'pop', 'post-teen pop', 'r&b']",6206637,83,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
4136,25,False,1,2,0,2019-08-02,198320,11,1,4,0.311,0.552,0.675,0.0,0.119,-3.824,0.297,0.586,183.785,Nicky Jam,Sech,11493557,89,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",3725373,92,"['panamanian pop', 'reggaeton']"
4137,76,False,12,2,78,2019-11-01,198320,11,1,4,0.311,0.552,0.675,0.0,0.119,-3.824,0.297,0.586,183.785,Nicky Jam,Sech,11493557,89,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",3725373,92,"['panamanian pop', 'reggaeton']"
4138,79,True,9,7,79,2019-04-19,305962,11,1,5,0.121,0.648,0.661,2.33e-06,0.12,-5.027,0.195,0.813,113.363,Justin Quiles,Sech,1629619,88,"['latin', 'reggaeton']",3725373,92,"['panamanian pop', 'reggaeton']"
4139,84,True,1,8,79,2019-10-11,216066,3,1,4,0.0258,0.727,0.815,0.0,0.231,-2.454,0.153,0.677,176.075,Rich Music LTD,Sech,56351,78,[],3725373,92,"['panamanian pop', 'reggaeton']"
4140,12,False,9,2,78,2013-09-27,148546,4,1,4,0.808,0.461,0.608,3.73e-05,0.318,-8.906,0.0286,0.668,95.019,Elvis Presley,Martina McBride,4111624,80,"['adult standards', 'rock-and-roll', 'rockabilly']",773338,61,"['contemporary country', 'country', 'country dawn', 'country road']"
4141,78,False,1,2,79,2018-06-08,179164,2,1,4,0.361,0.707,0.664,0.0,0.331,-5.042,0.0382,0.674,124.991,João Gustavo e Murilo,Analaga,184299,67,"['brazilian edm', 'funk carioca', 'sertanejo pop', 'sertanejo universitario']",102304,67,"['sertanejo pop', 'sertanejo universitario']"
4142,29,False,4,2,0,2018-12-21,179164,2,1,4,0.361,0.707,0.664,0.0,0.331,-5.042,0.0382,0.674,124.991,João Gustavo e Murilo,Analaga,184299,67,"['brazilian edm', 'funk carioca', 'sertanejo pop', 'sertanejo universitario']",102304,67,"['sertanejo pop', 'sertanejo universitario']"
4143,48,True,11,2,79,2017-02-03,225066,10,0,4,0.708,0.591,0.756,0.0,0.332,-8.026,0.143,0.546,82.776,Big Sean,The-Dream,7271979,83,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",760819,69,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
4144,51,True,5,3,79,2018-06-15,452504,9,1,4,0.474,0.569,0.541,0.0,0.254,-6.036,0.381,0.206,82.423,Nas,The-Dream,1883865,76,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",760819,69,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
