Source,Target,Weight,avg_streams,Year
latin pop,reggaeton,113,159503763.217391,2017
rap,tropical house,47,98009721.3157895,2017
post-teen pop,southern hip hop,65,109553055.038462,2017
pop,r&b,69,89059784.7647059,2017
electropop,tropical house,87,132124429.714286,2017
electro house,post-teen pop,56,124536195.222222,2017
latin hip hop,reggaeton flow,127,102326813.111111,2017
miami hip hop,rap,90,87013066.2941176,2017
electro house,rap,42,81557084.9444445,2017
canadian pop,hip hop,55,93225904.6666667,2017
r&b,trap,49,61791029.0769231,2017
edm,trap,52,94684777.0,2017
trap,tropical house,44,98402234.4210526,2017
miami hip hop,pop rap,61,84990947.8125,2017
atl hip hop,atl hip hop,46,32962464.6111111,2017
pop rap,uk dance,36,94279885.875,2017
trap,urban contemporary,46,119921609.0,2017
pop,uk pop,97,167506363.095238,2017
gangster rap,trap,59,24447713.0,2017
house,pop rap,30,68192913.6666667,2017
dirty south rap,hip hop,55,71949767.125,2017
dance pop,urban contemporary,38,116797875.0,2017
latin,pop,102,142160135.055556,2017
post-teen pop,uk dance,60,128944033.666667,2017
dance pop,progressive house,39,109184938.25,2017
dirty south rap,pop,40,81984914.3888889,2017
edm,electropop,69,135463678.833333,2017
dance pop,melodic rap,40,110468668.294118,2017
pop rap,progressive house,30,76983521.8461538,2017
dance pop,latin,84,100362813.666667,2017
electro house,trap,32,86106735.882353,2017
conscious hip hop,hip hop,63,84524704.5555556,2017
dance pop,r&b,37,89980527.9333333,2017
trap latino,trap latino,73,77407481.2857143,2017
post-teen pop,post-teen pop,100,218517495.55,2017
conscious hip hop,pop rap,53,76482197.4,2017
dance pop,house,45,64428871.6428571,2017
electropop,rap,36,62467827.4375,2017
dirty south rap,trap,54,111618276.285714,2017
rap,toronto rap,61,34822885.3571429,2017
r&b,southern hip hop,32,61791029.0769231,2017
southern hip hop,tropical house,27,71713477.1333333,2017
big room,pop,49,99744350.0588235,2017
miami hip hop,trap,62,104647802.714286,2017
chicago rap,rap,59,80134586.3333333,2017
conscious hip hop,rap,78,76482197.4,2017
electropop,pop rap,44,71651102.7777778,2017
progressive house,rap,23,77030854.1538462,2017
canadian pop,pop,63,157778984.882353,2017
pop rap,toronto rap,44,46919891.5833333,2017
indie poptimism,pop,40,91982839.8,2017
edm,southern hip hop,27,71713477.1333333,2017
latin,puerto rican pop,90,211531221.230769,2017
puerto rican pop,reggaeton,78,219843492.846154,2017
dance pop,uk pop,64,164142110.470588,2017
pop,pop edm,40,105289392.6,2017
conscious hip hop,trap,45,94724755.125,2017
new orleans rap,pop rap,30,110202067.428571,2017
alternative r&b,rap,32,95854837.6666667,2017
house,rap,25,80172331.25,2017
rap,uk dance,21,80172331.25,2017
atl hip hop,canadian pop,30,65811717.0,2017
atl hip hop,post-teen pop,40,134519279.647059,2017
gangster rap,hip hop,79,29582542.2727273,2017
dance pop,reggaeton,70,106537975.266667,2017
pop,reggaeton,84,163066493.0,2017
hip hop,tropical house,26,113278903.615385,2017
latin pop,tropical,53,173777658.125,2017
chicago rap,hip hop,32,80134586.3333333,2017
chicago rap,pop rap,48,80134586.3333333,2017
hip hop,new orleans rap,27,110202067.428571,2017
hip hop,miami hip hop,47,73999365.7,2017
canadian pop,dance pop,40,145155055.466667,2017
canadian pop,southern hip hop,33,55526025.6,2017
canadian hip hop,rap,59,37162183.1538462,2017
edm,hip hop,26,113278903.615385,2017
electro house,southern hip hop,20,76002242.0714286,2017
progressive house,trap,20,83099007.0833333,2017
puerto rican pop,tropical,59,226428257.0,2017
big room,dance pop,45,113150641.8,2017
colombian pop,latin,85,99246066.2727273,2017
electropop,post-teen pop,95,215291088.8125,2017
chicago rap,trap,53,87760298.25,2017
new orleans rap,rap,29,110202067.428571,2017
alternative r&b,pop,50,133706458.545455,2017
melodic rap,post-teen pop,36,132364813.857143,2017
conscious hip hop,pop,42,162284233.4,2017
toronto rap,trap,49,35923736.1666667,2017
dance pop,dirty south rap,19,68148472.0833333,2017
pop,tropical,47,130063779.857143,2017
detroit hip hop,pop,31,51747540.7272727,2017
house,trap,20,87077723.2727273,2017
trap,uk dance,18,87077723.2727273,2017
southern hip hop,urban contemporary,26,101719138.416667,2017
reggaeton flow,reggaeton flow,81,80543110.8333333,2017
edm,uk pop,50,167265204.714286,2017
tropical house,uk pop,54,167265204.714286,2017
dance pop,pop edm,35,125750515.166667,2017
melodic rap,melodic rap,45,55206141.0,2017
detroit hip hop,pop rap,38,49916497.2727273,2017
detroit hip hop,rap,36,16249917.875,2017
atl trap,pop rap,40,18408325.6666667,2017
atl trap,rap,69,18631016.7777778,2017
miami hip hop,pop,30,110196558.636364,2017
east coast hip hop,rap,71,16722919.8181818,2017
electro house,tropical house,37,59917558.3636364,2017
indie poptimism,tropical house,26,111693710.5,2017
gangster rap,pop,32,81621825.8888889,2017
edm,edm,45,114248499.583333,2017
latin hip hop,latin hip hop,43,105030158.3,2017
gangster rap,southern hip hop,41,22238252.6,2017
canadian hip hop,trap,50,38788438.1818182,2017
canadian hip hop,pop rap,44,37802828.0,2017
electro house,hip hop,17,96981618.4545454,2017
progressive house,southern hip hop,16,87423735.8181818,2017
pop,toronto rap,31,46578829.9090909,2017
latin hip hop,latin pop,32,213854373.5,2017
house,post-teen pop,29,75388131.6666667,2017
art pop,rap,19,14825666.0,2017
conscious hip hop,southern hip hop,33,76482197.4,2017
dance pop,tropical,37,76418228.0,2017
house,southern hip hop,14,92232796.5,2017
southern hip hop,uk dance,14,92232796.5,2017
hip pop,pop rap,32,120021074.857143,2017
pop edm,post-teen pop,23,112903056.5,2017
colombian pop,reggaeton,67,101093291.9,2017
edm,electro house,34,76780629.3333333,2017
detroit hip hop,trap,21,8956412.0,2017
atl hip hop,gangster rap,21,14864622.2857143,2017
dance pop,dancehall,17,91220349.7142857,2017
dancehall,pop,21,104641062.333333,2017
alternative r&b,pop rap,26,114307195.7,2017
atl hip hop,dirty south rap,26,92757300.3,2017
east coast hip hop,pop,17,14910234.3333333,2017
dirty south rap,post-teen pop,21,122962121.363636,2017
east coast hip hop,hip hop,73,14950362.4444444,2017
hip hop,progressive house,15,94697419.3333333,2017
post-teen pop,progressive house,23,113952788.454545,2017
hip pop,rap,37,47955612.25,2017
canadian contemporary r&b,rap,21,57770666.5,2017
pop rap,underground hip hop,44,55065516.1,2017
latin hip hop,puerto rican pop,40,297758676.875,2017
baile pop,funk carioca,42,30891003.0,2017
detroit hip hop,hip hop,30,17719935.7142857,2017
atl trap,trap,36,15411432.8571429,2017
metropopolis,pop,22,52000076.8333333,2017
dirty south rap,southern hip hop,27,53176104.8,2017
chicago rap,pop,31,117948930.4,2017
post-teen pop,urban contemporary,21,181009761.4,2017
new orleans rap,pop,17,116300628.833333,2017
new orleans rap,trap,18,125853730.333333,2017
east coast hip hop,pop rap,33,23380984.7142857,2017
indie pop rap,pop,14,39404342.4,2017
dance pop,miami hip hop,13,79245958.875,2017
latin,post-teen pop,47,175642037.625,2017
dance pop,detroit hip hop,19,81601815.8333333,2017
hip hop,house,13,101617955.625,2017
hip hop,uk dance,13,101617955.625,2017
edm,urban contemporary,16,85799689.625,2017
tropical house,urban contemporary,16,85799689.625,2017
pop rock,rap,21,114062895.0,2017
dance pop,gangster rap,21,90943424.5,2017
pop rap,queens hip hop,32,139399146.166667,2017
pop edm,tropical house,26,58349361.3333333,2017
modern rock,rap,15,49942825.0,2017
big room,post-teen pop,20,114408954.5,2017
pop,progressive electro house,32,103307690.75,2017
colombian pop,tropical,35,64466448.4444445,2017
rap,underground hip hop,121,63508393.0,2017
atl hip hop,r&b,17,45489165.8,2017
big room,tropical house,32,46345006.125,2017
hip hop,rock,11,45712037.0,2017
latin,pop rap,51,66387606.8571429,2017
pop rap,reggaeton,44,73612258.0,2017
modern rock,pop rap,17,42477065.3333333,2017
hip pop,pop,30,137930532.875,2017
pop,queens hip hop,30,137930532.875,2017
melodic rap,miami hip hop,29,107980404.666667,2017
detroit hip hop,southern hip hop,18,8956412.0,2017
atl trap,southern hip hop,20,15411432.8571429,2017
alternative r&b,dance pop,23,123731110.555556,2017
dfw rap,pop,20,27924816.6666667,2017
canadian pop,melodic rap,16,90499920.0,2017
atl hip hop,canadian hip hop,22,48644961.875,2017
atl hip hop,toronto rap,22,48644961.875,2017
r&b,urban contemporary,16,131760880.875,2017
dance pop,indie poptimism,18,74232781.2857143,2017
edm,indie poptimism,18,71164557.1428572,2017
moombahton,pop,48,114069699.5,2017
latin pop,pop,31,140585875.333333,2017
uk dance,urban contemporary,11,72257016.0,2017
pop rap,pop rock,20,111225096.833333,2017
hip hop,hip pop,25,95368246.4285714,2017
pop rap,viral pop,15,93762561.2222222,2017
canadian contemporary r&b,pop rap,14,68283948.25,2017
canadian contemporary r&b,trap,11,13879200.7142857,2017
perreo,reggaeton,27,78137872.25,2017
canadian hip hop,pop,30,28897889.875,2017
dance pop,toronto rap,19,55879606.625,2017
colombian pop,latin pop,34,57390361.0,2017
latin hip hop,pop,24,168288669.444444,2017
hip hop,toronto rap,29,40565855.875,2017
latin pop,reggaeton flow,30,131580423.333333,2017
pop,viral pop,32,148551391.888889,2017
rap,rock,18,42296642.0,2017
pop rap,rock,15,58186747.0,2017
hip hop,modern rock,10,45725086.5,2017
dance pop,uk hip hop,10,15675702.0,2017
pop,uk hip hop,14,14864286.2,2017
art pop,pop,13,23423098.0,2017
chicago rap,southern hip hop,25,87760298.25,2017
miami hip hop,post-teen pop,16,147879401.75,2017
atl hip hop,urban contemporary,13,100659013.375,2017
dirty south rap,r&b,13,71767212.2857143,2017
electropop,hip hop,15,77691385.0,2017
indie pop,pop,11,73854733.6666667,2017
electro house,urban contemporary,10,52217813.5,2017
pop,pop rock,21,93292644.125,2017
hip pop,trap,28,120021074.857143,2017
queens hip hop,rap,48,61977274.1666667,2017
southern hip hop,toronto rap,24,24074576.1428571,2017
tropical house,uk dance,31,176697740.875,2017
uk dance,uk pop,20,174232136.875,2017
latin,perreo,26,78137872.25,2017
atl hip hop,edm,13,138004429.625,2017
atl hip hop,tropical house,10,138004429.625,2017
indietronica,pop,15,26461041.25,2017
modern alternative rock,pop,16,51707459.0,2017
edm,pop edm,24,107881194.0,2017
alternative r&b,hip hop,21,136728468.857143,2017
puerto rican pop,reggaeton flow,37,108049062.857143,2017
dance pop,progressive electro house,23,67610455.7142857,2017
pop,underground hip hop,12,66260706.0,2017
electropop,indie poptimism,18,137979101.428571,2017
electronic trap,pop,21,79373262.1428572,2017
big room,edm,29,52533502.4285714,2017
pop,trap soul,21,134151970.833333,2017
florida rap,pop rap,16,39842918.4,2017
florida rap,rap,21,39842918.4,2017
atl hip hop,atl trap,17,16805165.5,2017
dance pop,uk dancehall,9,18034281.0,2017
metropopolis,rap,9,30776894.75,2017
chicago rap,dance pop,13,117948930.4,2017
conscious hip hop,dance pop,14,181928870.714286,2017
atl hip hop,conscious hip hop,23,96268718.7142857,2017
canadian pop,dirty south rap,14,92396688.1428572,2017
canadian pop,urban contemporary,12,102435374.714286,2017
new orleans rap,southern hip hop,13,125853730.333333,2017
dirty south rap,melodic rap,19,127752341.833333,2017
atl trap,hip hop,37,15265491.4,2017
indie pop rap,pop rap,15,52012841.4,2017
indie pop rap,rap,16,52012841.4,2017
indie pop rap,post-teen pop,10,35919852.8571429,2017
dance pop,moombahton,25,121972983.333333,2017
dance pop,latin pop,26,51628385.1428571,2017
post-teen pop,tropical,27,190233665.5,2017
house,urban contemporary,8,26541695.2,2017
progressive house,urban contemporary,8,26541695.2,2017
r&b,tropical house,14,21569218.4285714,2017
canadian hip hop,southern hip hop,23,27351669.8333333,2017
gangster rap,melodic rap,16,14461750.5,2017
g funk,pop,15,20767956.5714286,2017
perreo,trap latino,13,29487182.3333333,2017
atl hip hop,electro house,8,101411180.142857,2017
alternative r&b,trap,17,116137672.8,2017
indietronica,tropical house,11,32872307.3333333,2017
neo soul,rap,11,78562873.0,2017
post-teen pop,toronto rap,10,72458214.3333333,2017
contemporary country,pop,36,63477151.2,2017
country,pop,19,63477151.2,2017
country road,pop,20,63477151.2,2017
modern country rock,pop,16,63477151.2,2017
trap,underground hip hop,47,30178817.0,2017
hip hop,pop rock,9,83287708.5,2017
dance pop,latin hip hop,17,84110578.0,2017
electropop,electropop,34,137979101.428571,2017
canadian hip hop,hip hop,27,51128225.1666667,2017
funk carioca,funk carioca,28,30891003.0,2017
cubaton,latin,8,150333724.333333,2017
pop rap,uk pop,33,101295091.714286,2017
norwegian pop,pop,10,57148119.1666667,2017
pop,swedish pop,23,104422914.714286,2017
florida rap,trap,16,39842918.4,2017
dancehall,tropical house,10,110049841.2,2017
pop,uk dancehall,7,20480350.0,2017
electropop,melodic rap,16,39006838.5,2017
art pop,pop rap,12,16057790.3333333,2017
dfw rap,rap,35,200087775.833333,2017
nz pop,pop,6,27924816.6666667,2017
nz pop,rap,6,27924816.6666667,2017
art pop,hip hop,11,5001303.0,2017
miami hip hop,r&b,10,81350768.8333333,2017
east coast hip hop,trap,16,10760566.3333333,2017
electro house,electropop,18,152239500.833333,2017
danish pop,pop,6,107168479.0,2017
post-teen pop,reggaeton,33,212908182.333333,2017
detroit hip hop,post-teen pop,14,82026798.1666667,2017
edm,r&b,12,24496969.3333333,2017
hip pop,southern hip hop,16,128651405.8,2017
memphis hip hop,pop rap,9,26752096.0,2017
queens hip hop,trap,28,139399146.166667,2017
hip hop,queens hip hop,31,131159294.4,2017
canadian contemporary r&b,southern hip hop,6,15097648.5,2017
canadian contemporary r&b,hip hop,10,85570790.8333333,2017
atl hip hop,house,7,87703422.6666667,2017
atl hip hop,progressive house,7,87703422.6666667,2017
atl hip hop,uk dance,7,87703422.6666667,2017
alternative r&b,southern hip hop,11,116137672.8,2017
neo mellow,pop,9,68971794.3333333,2017
lgbtq+ hip hop,rap,9,96196439.75,2017
canadian pop,post-teen pop,18,110446496.166667,2017
barbadian pop,rap,9,172084968.4,2017
puerto rican pop,trap latino,34,82024353.5,2017
country pop,pop,13,76261961.25,2017
german hip hop,hamburg hip hop,36,3282104.0,2017
latin,mexican pop,21,106936235.0,2017
dance pop,electronic trap,13,33428457.2,2017
progressive electro house,tropical house,16,23252657.75,2017
dance pop,viral pop,20,124750546.833333,2017
tropical house,viral pop,16,166838454.166667,2017
edm,viral pop,14,156116464.0,2017
electropop,trap,23,40785981.0,2017
bachata,latin,25,66775950.0,2017
post-teen pop,uk pop,40,267925101.833333,2017
post-teen pop,r&b,20,129489787.2,2017
atl trap,pop,11,133179271.5,2017
pittsburgh rap,pop rap,9,43704338.5,2017
dance pop,trap soul,13,144117757.6,2017
dance pop,hip pop,20,169109552.166667,2017
dance pop,queens hip hop,20,169109552.166667,2017
pop rap,trap soul,22,217872117.0,2017
modern rock,trap,7,84323037.0,2017
rock,trap,8,84323037.0,2017
conscious hip hop,new orleans rap,7,145819105.4,2017
dancehall,edm,9,110049841.2,2017
dancehall,post-teen pop,7,136756379.75,2017
alternative r&b,electropop,18,107378868.8,2017
art pop,trap,9,4190764.0,2017
chicago rap,dirty south rap,9,117948930.4,2017
chicago rap,miami hip hop,14,117948930.4,2017
chicago rap,urban contemporary,11,117948930.4,2017
canadian pop,conscious hip hop,11,210860682.8,2017
conscious hip hop,post-teen pop,10,240994887.0,2017
dance pop,new orleans rap,11,122696147.2,2017
new orleans rap,post-teen pop,8,122696147.2,2017
indie poptimism,pop rap,13,75555064.4,2017
indie poptimism,rap,11,38267013.4,2017
dance pop,indie pop,6,106946517.5,2017
danish pop,edm,5,107168479.0,2017
edm,indie pop,7,107168479.0,2017
latin pop,post-teen pop,18,219239635.2,2017
electro house,r&b,7,27062209.6,2017
miami hip hop,southern hip hop,20,26633923.4,2017
atl hip hop,canadian contemporary r&b,5,17126660.6,2017
latin pop,trap latino,31,86702834.8,2017
hip hop,viral pop,6,43699702.2,2017
rap,viral pop,8,28419289.4,2017
detroit hip hop,r&b,8,16690193.2,2017
alternative r&b,tropical house,12,98197339.4,2017
alternative r&b,atl hip hop,8,116137672.8,2017
edm,indietronica,9,13745346.25,2017
electro house,pop edm,13,64833819.8,2017
dance pop,neo mellow,7,78707844.0,2017
edm,neo mellow,6,78653247.6,2017
neo mellow,tropical house,6,78653247.6,2017
hip hop,neo soul,9,78562873.0,2017
canadian hip hop,dance pop,17,33170568.6,2017
canadian hip hop,post-teen pop,11,39494322.5,2017
barbadian pop,hip hop,8,153393334.6,2017
barbadian pop,pop rap,8,170690515.5,2017
philly rap,pop,8,33650904.0,2017
contemporary country,dance pop,22,100311204.333333,2017
country,dance pop,17,100311204.333333,2017
country pop,dance pop,12,100311204.333333,2017
country road,dance pop,16,100311204.333333,2017
dance pop,modern country rock,14,100311204.333333,2017
dance pop,modern alternative rock,11,69207057.6666667,2017
pop edm,pop rap,5,68540750.0,2017
cubaton,pop,6,118510218.25,2017
edm,progressive electro house,11,23252657.75,2017
edm,progressive house,14,18631560.8,2017
progressive house,tropical house,14,22236196.25,2017
electro house,viral pop,9,114931682.4,2017
electropop,viral pop,12,149481635.2,2017
canadian pop,edm,18,284205705.8,2017
canadian pop,tropical house,20,277328433.5,2017
colombian pop,latin hip hop,18,63299840.0,2017
bachata,reggaeton,19,95106772.0,2017
big room,electropop,12,108609519.2,2017
dutch house,tropical house,9,24489606.3333333,2017
gangster rap,r&b,7,38205848.6666667,2017
dance pop,funk carioca,10,17064111.5,2017
funk carioca,pop,10,17064111.5,2017
funk carioca,pop rap,9,18856980.6666667,2017
pop rap,tropical,14,43190821.75,2017
atl trap,dance pop,8,175222683.0,2017
edm,melodic rap,12,128220907.8,2017
modern rock,pop,21,42477065.3333333,2017
pop,rock,13,39870027.6666667,2017
modern alternative rock,rap,8,41166876.6666667,2017
rap,stomp pop,6,41166876.6666667,2017
modern alternative rock,pop rap,9,58186747.0,2017
pop rap,stomp pop,6,58186747.0,2017
hip hop,modern alternative rock,5,45725086.5,2017
hip hop,stomp pop,5,45725086.5,2017
pittsburgh rap,rap,7,43704338.5,2017
pittsburgh rap,trap,7,43704338.5,2017
dance pop,swedish pop,18,142748815.0,2017
edm,swedish pop,18,131681219.0,2017
dmv rap,pop,12,179055722.0,2017
post-teen pop,trap soul,11,156721102.0,2017
latin,latin arena pop,20,67532331.0,2017
pop rock,trap,6,102382668.666667,2017
dance pop,norwegian pop,7,75827696.75,2017
dmv rap,southern hip hop,12,23648100.25,2017
pop,uk funky,18,255281634.75,2017
dmv rap,hip hop,21,30313647.6666667,2017
florida rap,melodic rap,8,43296934.25,2017
chicago rap,new orleans rap,5,161193122.5,2017
post-teen pop,uk hip hop,4,16920609.0,2017
dancehall,uk dance,5,136756379.75,2017
alternative r&b,post-teen pop,17,133222907.75,2017
metropopolis,pop rap,7,30776894.75,2017
dfw rap,pop rap,26,151094334.75,2017
conscious hip hop,dirty south rap,9,145359976.25,2017
conscious hip hop,urban contemporary,10,188964313.5,2017
canadian pop,chicago rap,7,149330841.25,2017
atl hip hop,chicago rap,15,161193122.5,2017
conscious hip hop,melodic rap,16,149887981.0,2017
canadian pop,miami hip hop,7,146517506.75,2017
miami hip hop,new orleans rap,9,151055332.25,2017
atl hip hop,miami hip hop,16,145290672.75,2017
melodic rap,urban contemporary,9,145476008.75,2017
canadian pop,new orleans rap,5,148621641.0,2017
atl hip hop,new orleans rap,7,161193122.5,2017
melodic rap,new orleans rap,7,151055332.25,2017
canadian hip hop,melodic rap,12,63887651.25,2017
canadian pop,gangster rap,8,21093397.6666667,2017
gangster rap,toronto rap,9,20214390.0,2017
melodic rap,toronto rap,12,63887651.25,2017
east coast hip hop,southern hip hop,34,12999907.5,2017
dance pop,east coast hip hop,11,3138668.0,2017
dance pop,indie pop rap,7,23998247.25,2017
dance pop,danish pop,4,138909456.0,2017
electro house,indie poptimism,8,92968161.5,2017
danish pop,tropical house,4,107168479.0,2017
indie pop,tropical house,6,107168479.0,2017
house,r&b,5,32074115.5,2017
progressive house,r&b,5,32074115.5,2017
r&b,uk dance,5,32074115.5,2017
dirty south rap,urban contemporary,6,119629099.25,2017
gangster rap,post-teen pop,14,152129459.0,2017
queens hip hop,southern hip hop,16,159876095.5,2017
latin,rap latina,48,120909009.0,2017
rap latina,reggaeton,37,120909009.0,2017
house,tropical house,17,65294833.5,2017
girl group,pop rap,8,53728474.5,2017
pop rap,talent show,9,53728474.5,2017
g funk,post-teen pop,9,19122140.25,2017
g funk,r&b,5,20010266.75,2017
perreo,tropical,10,29487182.3333333,2017
alternative r&b,edm,9,121745996.0,2017
alternative r&b,electro house,6,121745996.0,2017
alternative r&b,house,7,121745996.0,2017
alternative r&b,progressive house,7,121745996.0,2017
alternative r&b,uk dance,7,121745996.0,2017
edm,modern alternative rock,6,48467815.0,2017
modern alternative rock,tropical house,6,48467815.0,2017
complextro,dance pop,7,202759603.75,2017
dance pop,german techno,7,202759603.75,2017
complextro,pop,14,202759603.75,2017
german techno,pop,13,202759603.75,2017
complextro,post-teen pop,8,202759603.75,2017
german techno,post-teen pop,8,202759603.75,2017
hip hop,lgbtq+ hip hop,5,96196439.75,2017
canadian hip hop,urban contemporary,7,34713287.25,2017
toronto rap,urban contemporary,7,34713287.25,2017
pop rap,uk hip hop,6,20810134.25,2017
rap,uk hip hop,6,20810134.25,2017
canadian contemporary r&b,pop,14,246172362.75,2017
post-teen pop,progressive electro house,14,104898922.0,2017
colombian pop,colombian pop,11,65924709.0,2017
hip hop,underground hip hop,77,13605954.75,2017
southern hip hop,underground hip hop,21,13605954.75,2017
pop,west coast rap,10,126870173.5,2017
r&b,r&b,6,53985126.5,2017
philly rap,pop rap,16,99102694.5,2017
electropop,pop edm,9,25715679.75,2017
deep german hip hop,german hip hop,43,3282104.0,2017
deep german hip hop,hamburg hip hop,17,3282104.0,2017
brazilian edm,pop nacional,4,198292351.0,2017
funk carioca,funk das antigas,14,30891003.0,2017
funk carioca,pagode baiano,13,30891003.0,2017
baile pop,baile pop,16,30891003.0,2017
funk carioca,pop nacional,16,30891003.0,2017
detroit hip hop,funk carioca,8,19841194.0,2017
latin,latin viral pop,21,90276144.6666667,2017
latin pop,latin pop,10,43445748.25,2017
mexican pop,reggaeton,18,116797665.75,2017
mexican pop,tropical,11,98463713.0,2017
electronic trap,tropical house,6,36258410.3333333,2017
cubaton,dance pop,4,135516787.0,2017
cubaton,tropical,4,191755330.5,2017
cubaton,reggaeton,4,191755330.5,2017
pop edm,viral pop,7,131739942.75,2017
moombahton,post-teen pop,19,157413587.25,2017
australian dance,dance pop,7,88628144.0,2017
australian dance,pop,28,88628144.0,2017
g funk,rap,16,32384768.0,2017
rap,uk pop,21,46180235.75,2017
electronic trap,post-teen pop,10,111709401.0,2017
dance pop,deep big room,12,29536345.0,2017
deep big room,tropical house,14,29536345.0,2017
dance pop,dutch house,8,24489606.3333333,2017
dutch house,pop,8,24489606.3333333,2017
edm,metropopolis,10,76075337.0,2017
dutch house,edm,7,24489606.3333333,2017
big room,pop rap,10,79166627.5,2017
melodic rap,r&b,12,8207575.66666667,2017
memphis hip hop,rap,8,10411092.0,2017
baile pop,dance pop,8,19186790.6666667,2017
baile pop,pop,8,19186790.6666667,2017
latin pop,pop rap,13,22127215.0,2017
melodic rap,tropical house,10,154262863.25,2017
dance pop,pop rock,6,78393613.0,2017
hip hop,pittsburgh rap,5,43704338.5,2017
swedish pop,tropical house,19,163215133.75,2017
alternative hip hop,conscious hip hop,9,4818951.0,2017
